n03424325,n03995372,n03255030,n02749479,n04069434
n03908618,n04235860,n02808440,n04442312,n03938244
n04263257,n07930864,n07831146,n07920052,n03063599
n04493381,n03970156,n04479046,n02808440,n04548280
n03961711,n04238763,n03887697,n03271574,n03733281
n02977058,n04554684,n03776460,n04525305,n04004767
n03733131,n04462240,n02927161,n02879718,n03485794
n04033995,n03877845,n02788148,n03930313,n04070727
n02980441,n02825657,n03781244,n04590129,n03028079
n04409515,n03942813,n03445777,n04116512,n04423845
n07745940,n07734744,n03938244,n07760859,n13054560
n02229544,n12620546,n02264363,n07753275,n02268443
n02865351,n02692877,n02098286,n10148035,n03759954
n02396427,n02115641,n02423022,n02391049,n02397096
n01532829,n01797886,n01622779,n01608432,n01560419
n07718472,n07697537,n07720875,n07716358,n07871810
n02123394,n02123045,n02127052,n02123159,n03404251
n02860847,n04252077,n04252225,n02992211,n04350905
n04004767,n03337140,n03347037,n03018349,n03938244
n02117135,n01692333,n02177972,n01945685,n01990800
n02093256,n02107142,n02097130,n03649909,n02099712
n04554684,n03887697,n15075141,n04442312,n04344873
n02454379,n01990800,n01440764,n02074367,n02321529
n04548280,n03938244,n03908618,n04553703,n03201208
n02319095,n04423845,n07734744,n03729826,n03637318
n07932039,n07920052,n03920288,n07930864,n02823750
n02111500,n02109525,n02111889,n02112350,n02127052
n03598930,n03724870,n03063599,n04192698,n06785654
n02319095,n02317335,n01917289,n09256479,n07715103
n04125021,n03761084,n03742115,n03777754,n04141975
n02776631,n02971356,n03201208,n04344873,n03954731
n09421951,n09399592,n03160309,n04366367,n09428293
n04554684,n04332243,n02965783,n03110669,n04589890
n02113712,n02256656,n02099429,n06785654,n04399382
n03598930,n03857828,n04074963,n02910353,n03843555
n04152593,n03180011,n03584254,n03485407,n03782006
n04589890,n04590129,n03788365,n03291819,n02999410
n03832673,n03642806,n02871525,n06785654,n04004767
n03710193,n04456115,n04517823,n03291819,n02909870
n01677366,n01693334,n03776460,n03777568,n03777754
n01924916,n01950731,n01917289,n09256479,n02319095
n04418357,n07714571,n07715103,n03450230,n03598930
n02115641,n02115913,n02105162,n02114855,n02105412
n02119789,n02120505,n02119022,n02127052,n02114855
n04086273,n03527444,n04090263,n01440764,n03775546
n04201297,n04590129,n04239074,n03452741,n04265275
n03733281,n01440764,n03775546,n03776460,n03777568
n02088466,n02112706,n02106550,n02111129,n02089078
n04033995,n04493381,n02808440,n04201297,n04344873
n02815834,n03733805,n04442312,n03761084,n02909870
n03063599,n07930864,n03063689,n03133878,n04398044
n07714990,n07715103,n01917289,n09256479,n07760859
n03854065,n03775071,n03775546,n03776460,n03777568
n04149813,n03032252,n07565083,n04525305,n02791270
n07930864,n03775546,n02909870,n03950228,n03786901
n03467068,n04141975,n02977058,n04005630,n02791270
n03598930,n03938244,n02087046,n04357314,n04116512
n04326547,n04033995,n03000134,n04409515,n03530642
n02100735,n02124075,n02123045,n02101556,n02102040
n03775546,n07930864,n03063599,n03690938,n04263257
n02111500,n02111889,n02104029,n02110063,n02105855
n03272562,n02814533,n03417042,n03393912,n04252225
n02097298,n03938244,n02110627,n02096177,n02097047
n02027492,n02033041,n02025239,n01530575,n02128925
n02109961,n02110063,n02110185,n02091467,n02111889
n02389026,n02105412,n07718472,n02108915,n01776313
n02106166,n02106030,n02105855,n02111277,n02086910
n03720891,n03970156,n03062245,n03690938,n04317175
n04596742,n03400231,n07590611,n02776631,n03133878
n07711569,n07715103,n07930864,n03637318,n03633091
n03938244,n03710721,n02837789,n03710637,n04033995
n04554684,n04033995,n04344873,n03938244,n04065272
n02123159,n02124075,n02123045,n02128757,n02110958
n04467665,n03160309,n02917067,n03393912,n03417042
n01675722,n02104029,n02124075,n01694178,n02114855
n04589890,n04275548,n03887697,n04153751,n03347037
n03657121,n04548362,n03476684,n03291819,n04026417
n02085620,n02093428,n02395406,n02093256,n02113978
n04417672,n03804744,n04325704,n03887697,n03291819
n03216828,n02859443,n03160309,n03933933,n04286575
n04125021,n03782006,n02840245,n03584829,n02971356
n01978287,n01981276,n01978455,n01440764,n03788195
n02643566,n02319095,n01914609,n03775546,n03776460
n07930864,n04070727,n03063599,n07565083,n03041632
n01560419,n01817953,n01843383,n01592084,n03000134
n03290653,n03529860,n03347037,n04404412,n03761084
n13037406,n13052670,n13054560,n03485794,n07753275
n03891332,n04141975,n03691459,n02977058,n03970156
n02916936,n03188531,n02769748,n03814639,n04548362
n02113712,n02102973,n02093859,n02097209,n02113799
n02790996,n03942813,n03255030,n07717556,n03887697
n04392985,n03492542,n02978881,n02979186,n04404412
n02489166,n03598930,n04589890,n02480495,n02105162
n01774750,n01917289,n02454379,n03804744,n03000134
n03584829,n03777754,n01440764,n03775546,n03776460
n07565083,n06785654,n03937543,n03871628,n07248320
n03125729,n02804414,n04235860,n03131574,n03188531
n02123597,n04493381,n02808440,n03958227,n02883205
n04536866,n03929660,n03187595,n03272010,n04423845
n02965783,n04442312,n04026417,n04548362,n02992529
n04116512,n03676483,n03188531,n04376876,n03908714
n03793489,n03908714,n03692522,n04286575,n04355933
n11879895,n03000134,n02793495,n04589890,n02795169
n01560419,n01833805,n01532829,n02177972,n01558993
n01775062,n02177972,n03804744,n01770393,n01773549
n02977058,n03063599,n03595614,n04525305,n02834397
n02110958,n02108915,n02108422,n02123045,n03724870
n04026417,n03709823,n03223299,n02769748,n04204238
n04265275,n03584829,n04004767,n04074963,n03908714
n03483316,n02951585,n03908714,n02783161,n03793489
n02099601,n02100877,n02099267,n02100583,n02092339
n01629819,n03530642,n04589890,n04116512,n03657121
n03134739,n02795169,n02909870,n03720891,n04423845
n02101388,n02088364,n02102177,n02102318,n02086646
n04493381,n02110063,n04116512,n02106662,n03803284
n07734744,n02319095,n01917289,n01667114,n01669191
n04033995,n03998194,n03938244,n04532106,n03028079
n02233338,n03788365,n03485794,n01986214,n04592741
n03220513,n03956157,n03938244,n04346328,n03673027
n02128757,n02124075,n02127052,n02128385,n02123045
n02793495,n03028079,n02980441,n03598930,n03220513
n09256479,n02643566,n10565667,n01917289,n01775062
n03729826,n03666591,n02948072,n02607072,n04548280
n02100236,n02089973,n02089867,n02101388,n02100735
n04270147,n04597913,n03970156,n12144580,n03876231
n04493381,n03598930,n03388043,n02808440,n10148035
n02790996,n04517823,n03970156,n02807133,n04376876
n04380533,n03201208,n04141975,n03899768,n03938244
n03000247,n03461385,n04325704,n03840681,n03598930
n03814639,n01440764,n03775071,n03775546,n03776460
n04033995,n03788365,n02980441,n03623198,n03476991
n01986214,n04423845,n02256656,n02233338,n01990800
n02412080,n02415577,n04399382,n02963159,n03938244
n01833805,n01534433,n01828970,n01592084,n01530575
n02093256,n02093428,n02113978,n02085620,n02108915
n03134739,n04209239,n04517823,n02909870,n03961711
n04429376,n04550184,n03016953,n04033995,n04515003
n12620546,n12267677,n07720875,n07747607,n07749582
n02877765,n03690938,n03937543,n03961711,n03942813
n03775546,n02909870,n04141975,n03733805,n04330267
n03393912,n04005630,n03776460,n03000134,n03899768
n04404412,n04517823,n04548280,n02909870,n03598930
n03207743,n04599235,n04026417,n02869837,n04325704
n02992529,n03871628,n04328186,n03492542,n04041544
n01631663,n01630670,n02317335,n01693334,n01644373
n03729826,n03666591,n04456115,n04154565,n03970156
n02091134,n02090622,n02099712,n04033995,n02088364
n04399382,n04462240,n03935335,n03942813,n07930864
n04152593,n10565667,n04404412,n03782006,n03857828
n02091831,n02109047,n02092339,n02091134,n02107142
n03874293,n03127925,n03417042,n03871628,n02776631
n03874599,n02840245,n04553703,n03584829,n03179701
n04238763,n02794156,n04328186,n03814906,n03706229
n04263257,n07584110,n07831146,n07579787,n03133878
n02787622,n03763968,n02749479,n04090263,n03494278
n02483362,n02110185,n03938244,n02488291,n02120079
n04589890,n03598930,n03938244,n04209239,n03887697
n04311004,n03933933,n04589890,n03220513,n02825657
n02788148,n03065424,n04311004,n03933933,n01440764
n04517823,n04154565,n02098286,n03938244,n04033995
n04286575,n06874185,n04296562,n03759954,n03942813
n06785654,n04074963,n03937543,n03929660,n03938244
n07718472,n01631663,n01945685,n03840681,n03938244
n04133789,n04328186,n03124170,n03584829,n04476259
n01828970,n01560419,n01843065,n02011460,n02009229
n02092339,n04033995,n02099849,n02105412,n03938244
n04554684,n03761084,n01440764,n03775071,n03775546
n03599486,n02791270,n02797295,n02791124,n03376595
n06785654,n03595614,n04409515,n15075141,n03584829
n02123394,n03938244,n02124075,n02123159,n04033995
n04515003,n03452741,n01440764,n03775071,n03775546
n02883205,n04591157,n04350905,n10148035,n03929660
n04596742,n04009552,n04154565,n06596364,n04456115
n02794156,n04141975,n04328186,n04548280,n03197337
n03938244,n03344393,n03673027,n03095699,n03871628
n02690373,n04592741,n04004767,n02687172,n04344873
n04328186,n03197337,n02769748,n04517823,n03196217
n04479046,n04350905,n02883205,n04591157,n03763968
n07802026,n04428191,n04604644,n03496892,n04465501
n03788365,n01917289,n01440764,n03938244,n03980874
n03089624,n03598930,n03028079,n02795169,n02980441
n03598930,n04200800,n04209239,n04553703,n04033995
n03933933,n04589890,n04311004,n04044716,n03126707
n03598930,n04435653,n02892201,n04486054,n04192698
n01749939,n01729977,n01739381,n01689811,n01693334
n01768244,n03220513,n02504458,n04523525,n02892201
n02090622,n02091134,n02091032,n02091831,n02106030
n01917289,n02536864,n01978287,n09256479,n02454379
n07590611,n04263257,n02939185,n03775546,n07584110
n02128925,n02128385,n02129604,n02128757,n02123159
n12985857,n04127249,n04523525,n02843684,n13040303
n07248320,n03908618,n03598930,n04548362,n03938244
n02504013,n02108915,n02408429,n02808304,n02092339
n01443537,n02607072,n01632777,n03938244,n01943899
n04116512,n04548362,n03590841,n03938244,n03929660
n07697537,n02236044,n01632777,n07716358,n03938244
n04376876,n02951585,n04317175,n03786901,n03063689
n04423845,n03443371,n02948072,n04153751,n04380533
n01491361,n01484850,n01494475,n02692877,n02074367
n02980441,n09332890,n03877845,n09468604,n03160309
n03770679,n03769881,n03796401,n04065272,n02814533
n04591157,n03063599,n04589890,n02883205,n04005630
n02526121,n01917289,n02655020,n01950731,n09256479
n03983396,n04435653,n03255030,n03764736,n04264628
n01622779,n01532829,n04423845,n01616318,n01807496
n01872401,n01768244,n04367480,n02346627,n04517823
n07930864,n04476259,n04263257,n07579787,n07718472
n03085013,n04264628,n04505470,n04542943,n03642806
n03724870,n01774750,n02445715,n02086910,n02123597
n02120505,n02127052,n02124075,n02497673,n02119789
n04127249,n04493381,n03532672,n04328186,n01770393
n04141327,n03658185,n02966687,n03041632,n04154565
n02443484,n02441942,n02909870,n04554684,n04265275
n03938244,n04026417,n02364673,n02106550,n02892201
n01608432,n01614925,n01532829,n04376876,n01622779
n01514668,n04398044,n04204238,n07754684,n02123045
n03160309,n04258138,n04366367,n02879718,n03961711
n04590129,n04550184,n02870880,n04239074,n04589890
n07715103,n07714571,n07718472,n07714990,n13052670
n02110958,n02108422,n02123045,n02109047,n02808440
n04116512,n04579432,n03134739,n04067472,n02783161
n03902125,n04525305,n03187595,n03710193,n03089624
n02909870,n04204238,n07930864,n04026417,n04332243
n01744401,n01742172,n01734418,n01740131,n04033995
n04532106,n03000247,n03598930,n03724870,n02699494
n02966687,n04074963,n02992529,n04041544,n03476991
n02493509,n02490219,n04399382,n03938244,n04325704
n10148035,n04404412,n02791270,n03759954,n06596364
n03000247,n02172182,n03598930,n02190166,n12768682
n02105162,n04366367,n02105412,n02125311,n04458633
n03063689,n03764736,n03062245,n04522168,n04560804
n02787622,n02895154,n03961711,n04009552,n03709823
n02870880,n03018349,n03938244,n02871525,n03742115
n02951358,n03873416,n03840681,n03485794,n02807133
n02130308,n02128385,n02128925,n02391049,n03980874
n03134739,n04277352,n01968897,n04599235,n01944390
n02096585,n02108915,n02085620,n02087046,n02124075
n04590129,n04589890,n04493381,n04049303,n02808440
n04442312,n02088364,n02965783,n04554684,n02090379
n02978881,n03584254,n02979186,n04074963,n03976467
n02804414,n03131574,n03125729,n03938244,n04033995
n02112137,n02112018,n02111889,n02112350,n02110063
n02006656,n03017168,n03876231,n02236044,n03938244
n03770679,n03670208,n02814533,n03100240,n03141823
n03733281,n03461385,n03991062,n07714571,n04326547
n03657121,n03777754,n03908714,n04069434,n03197337
n04069434,n02769748,n04355933,n03777754,n03424325
n02165105,n02219486,n01440764,n03776460,n03777568
n01669191,n03598930,n03220513,n03724870,n04398044
n02011460,n02028035,n02033041,n01532829,n01798484
n03871628,n03127925,n03908618,n03794056,n04548362
n03393912,n04467665,n03796401,n03417042,n03126707
n03887697,n02916936,n04548280,n04033995,n03938244
n03777754,n03492542,n03642806,n03085013,n03598930
n03998194,n02892201,n03871628,n02910353,n03223299
n03938244,n04033995,n04592741,n03584829,n04004767
n01824575,n01582220,n01795545,n01608432,n01558993
n01917289,n03733281,n03065424,n03775546,n03776460
n03461385,n04462240,n03089624,n04443257,n04111531
n04238763,n04417672,n04118776,n04004767,n03876231
n03759954,n03272010,n02676566,n03494278,n02787622
n02099712,n02106550,n02108422,n02099267,n02093256
n07695742,n03065424,n02999410,n03733281,n03992509
n02950826,n03452741,n03249569,n04099969,n02672831
n07831146,n07579787,n07697537,n07720875,n07711569
n02105251,n02096177,n02097130,n02106382,n02097658
n02883205,n03110669,n03394916,n04350905,n03255030
n04370456,n02963159,n04548280,n03141823,n03595614
n09256479,n04589890,n02980441,n03598930,n03255030
n02105505,n10148035,n04350905,n04399382,n03404251
n03649909,n04517823,n04482393,n03791053,n04099969
n03891251,n04200800,n03899768,n04517823,n04099969
n01910747,n01917289,n01968897,n01784675,n02319095
n04404412,n03529860,n04152593,n03782006,n04009552
n02787622,n03272010,n02676566,n03494278,n03759954
n04589890,n04599235,n03887697,n04208210,n03223299
n02011460,n02256656,n02229544,n02226429,n01945685
n02094114,n02095889,n02095570,n02111500,n02098105
n02950826,n04548280,n03271574,n02974003,n02910353
n02112350,n03598930,n02104365,n02112018,n02096294
n04589890,n04209239,n03788365,n03887697,n09288635
n03804744,n03476684,n02177972,n02231487,n03627232
n01774750,n01775062,n03938244,n01770393,n03887697
n03445777,n04409515,n02799071,n03942813,n03134739
n04417672,n03223299,n03980874,n03598930,n04429376
n02113799,n02113712,n02104029,n02111500,n02113624
n07695742,n01986214,n07697537,n03188531,n01740131
n02443484,n02123597,n02233338,n02443114,n02120079
n04483307,n02981792,n04612504,n03344393,n02233338
n03095699,n03216828,n04044716,n04147183,n03126707
n01669191,n02910353,n02892201,n04049303,n03598930
n03598930,n02391049,n03938244,n02104029,n02504458
n07711569,n07715103,n03775546,n07930864,n07871810
n02219486,n01770393,n02165105,n02233338,n02229544
n12144580,n13133613,n03773504,n03775071,n03775546
n02111889,n02114548,n02120079,n02109961,n02110185
n03529860,n04004767,n04005630,n04152593,n04554684
n03775071,n04235860,n04033995,n03642806,n02105056
n13133613,n12144580,n03773504,n03775071,n03775546
n04039381,n03041632,n04517823,n03498962,n04200800
n01537544,n01828970,n01694178,n04548280,n01580077
n01847000,n01855672,n02018207,n02037110,n01855032
n03733281,n03220513,n11879895,n03899768,n04589890
n02666196,n03908618,n04423845,n04026417,n03476684
n02236044,n03110669,n03532672,n04127249,n03804744
n03291819,n02909870,n02971356,n04004767,n02840245
n01828970,n02177972,n04589890,n01531178,n12620546
n04099969,n04501370,n03223299,n04201297,n04005630
n02909870,n02747177,n04517823,n03424325,n04026417
n07720875,n07749582,n07716906,n07717410,n07717556
n02088094,n02113799,n02105251,n02111500,n02098413
n02113624,n02113712,n02102318,n02113799,n02101556
n03710721,n03710637,n02807133,n02837789,n03724870
n03637318,n04380533,n04209239,n03938244,n04522168
n03942813,n03982430,n04201297,n04590129,n03452741
n02093859,n04200800,n03594734,n02098286,n03887697
n03794056,n04086273,n03954731,n03527444,n03041632
n02930766,n02701002,n03977966,n04285008,n04037443
n03977966,n04335435,n03417042,n02701002,n03670208
n03598930,n03476684,n03938244,n02877765,n03871628
n04467665,n03796401,n03417042,n04461696,n03776460
n04026417,n03709823,n02769748,n02966687,n03775546
n02097209,n02097047,n02106382,n02097298,n02093859
n03804744,n01704323,n03041632,n04154565,n03498962
n03938244,n04033995,n03775071,n03775546,n03776460
n01560419,n01558993,n03124170,n04259630,n02808304
n02097130,n02097298,n04584207,n04458633,n02097209
n02097658,n02097047,n02093754,n02091635,n02097209
n04332243,n03938244,n04597913,n04380533,n04239074
n02319095,n07718747,n07730033,n03729826,n03871628
n02417914,n03131574,n02412080,n04033995,n03125729
n03871628,n03355925,n03908618,n02236044,n04589890
n02445715,n02328150,n02395406,n02488702,n02364673
n02104365,n02441942,n02124075,n02445715,n02443484
n03495258,n04509417,n04517823,n04456115,n03763968
n04447861,n15075141,n03970156,n03483316,n04254120
n02099712,n02111500,n02106662,n04548362,n02104029
n03584829,n04133789,n04263257,n07584110,n07930864
n03977966,n03417042,n02701002,n02971356,n03127925
n04116512,n03942813,n04409515,n03929660,n03814906
n04019541,n02802426,n02906734,n04254777,n03124043
n04200800,n04462240,n03255030,n03887697,n04399382
n02134084,n02104029,n02398521,n01698640,n01695060
n02085936,n02086240,n02098286,n02098413,n02095889
n03992509,n01943899,n01968897,n03938244,n07930864
n02769748,n03709823,n04235860,n03188531,n04026417
n04613696,n03457902,n03220513,n04258138,n04554684
n07718472,n07716358,n03938244,n03690938,n04026417
n02086910,n02085782,n02085620,n03938244,n02106166
n07718472,n07753592,n01632777,n07716358,n07716906
n03063689,n03291819,n03584829,n04476259,n03908618
n04263257,n04557648,n07930864,n03657121,n03937543
n01860187,n01855672,n04325704,n07695742,n02009912
n06596364,n03272010,n04296562,n03759954,n04548362
n04266014,n03773504,n02814860,n04008634,n02825657
n02895154,n04192698,n03763968,n02804610,n02916936
n02028035,n07930864,n04423845,n04380533,n02033041
n01677366,n03938244,n01693334,n01688243,n01694178
n01917289,n13037406,n07760859,n03530642,n03938244
n04153751,n03908618,n03908714,n03602883,n03871628
n02095889,n02098105,n02098286,n02093859,n02104029
n04532670,n03788195,n03930313,n03661043,n03877845
n04153751,n01582220,n02086910,n03223299,n04548280
n03476684,n04116512,n02783161,n03000247,n04127249
n02111500,n04200800,n02395406,n02104029,n03908618
n04487394,n03720891,n03970156,n03884397,n02871525
n02443484,n02443114,n02441942,n03775546,n03776460
n04399382,n03938244,n04033995,n03871628,n02110958
n04550184,n03016953,n03742115,n04201297,n04209239
n06874185,n02814860,n04286575,n04589890,n03355925
n12144580,n13133613,n03871628,n02808304,n03207743
n03461385,n03126707,n02871525,n02971356,n03127925
n02486410,n04589890,n03584254,n02094114,n02104365
n02125311,n02127052,n02124075,n04523525,n02129165
n03777754,n03584254,n03832673,n03642806,n04004767
n04141975,n03196217,n04004767,n02977058,n04344873
n04613696,n03776460,n03220513,n04049303,n02859443
n07930864,n07715103,n07711569,n03291819,n07875152
n04589890,n02807133,n03598930,n03347037,n04033995
n03188531,n02804414,n03131574,n02808440,n03014705
n02777292,n03124170,n03535780,n04039381,n04548280
n02489166,n02487347,n02483362,n02486261,n02490219
n03598930,n04589890,n06359193,n03782006,n07248320
n04579432,n04116512,n02948072,n03666591,n03676483
n04589890,n01784675,n01630670,n03584829,n03485794
n02666196,n03134739,n03942813,n03929660,n03255030
n02097209,n02093991,n02091635,n02097658,n02096294
n02114548,n02104029,n02134084,n02120079,n01704323
n02325366,n02356798,n02342885,n09256479,n04589890
n03201208,n04423845,n07930864,n04548280,n03124170
n03240683,n03344393,n03721384,n02747177,n03063689
n03196217,n04127249,n04330267,n03347037,n03590841
n03018349,n03742115,n03961711,n03016953,n02870880
n02104029,n02114548,n02111500,n02134084,n02120079
n09256479,n02607072,n10565667,n02992529,n01914609
n04590129,n03447447,n04493381,n04589890,n03452741
n02165456,n12620546,n02169497,n01532829,n01531178
n02088238,n02089867,n02088466,n02088364,n02089973
n04120489,n03938244,n04192698,n04141327,n03250847
n04553703,n07579787,n04596742,n03775546,n07714990
n02776631,n03028079,n02825657,n02980441,n03032252
n03201208,n03376595,n04548280,n03179701,n04004767
n04548280,n10148035,n03584829,n03761084,n03125729
n02119789,n02119022,n02120505,n02120079,n02114855
n01631663,n01630670,n01675722,n01693334,n03598930
n03196217,n06785654,n03938244,n03742115,n04152593
n02490219,n02443484,n02443114,n02364673,n02494079
n03840681,n02672831,n03594734,n03838899,n03372029
n03877845,n04346328,n03032252,n02825657,n03854065
n01689811,n01677366,n01693334,n01740131,n01685808
n02111500,n02104029,n02099601,n02102318,n02101556
n04458633,n03976657,n06874185,n04153751,n03255030
n03871628,n04476259,n07248320,n04026417,n04328186
n04209239,n03598930,n02808304,n02834397,n03887697
n02445715,n01582220,n04589890,n01795545,n04153751
n10565667,n04606251,n01910747,n07930864,n04589890
n02112137,n02112350,n02111277,n02106382,n02110958
n02107574,n02108000,n02107908,n02106550,n02107142
n06785654,n03032252,n02791270,n03924679,n04554684
n02104365,n02085620,n02107312,n02097209,n02097298
n03133878,n04330267,n07590611,n04596742,n07714990
n04200800,n04204347,n03207941,n03250847,n02110806
n02112137,n07880968,n04263257,n02096294,n03791053
n03000684,n03995372,n03649909,n09835506,n03379051
n04553703,n02808440,n04254120,n04493381,n04209239
n02102480,n02102318,n02094258,n02486410,n02091635
n04589890,n03942813,n04209239,n04493381,n02808440
n01698640,n03000247,n02454379,n03598930,n01985128
n02966687,n02916936,n04548362,n02769748,n03250847
n03938244,n03485794,n07684084,n04033995,n02776631
n03478589,n04310018,n03272562,n03417042,n03393912
n02071294,n01582220,n03447447,n03873416,n03876231
n01944390,n07747607,n07749582,n02219486,n03938244
n01855672,n02058221,n01817953,n01847000,n01440764
n02037110,n02058221,n04589890,n02028035,n01855672
n03942813,n09835506,n03793489,n04447861,n03598930
n04229816,n03724870,n02807133,n07930864,n03623198
n02177972,n03627232,n12057211,n01775062,n12620546
n02408429,n02398521,n02504013,n02807133,n02403003
n02481823,n02483708,n02480495,n02484975,n02486410
n07718472,n07716358,n03532672,n07720875,n07749582
n03018349,n03201208,n02791270,n04536866,n03938244
n03662601,n02917067,n04462240,n04146614,n04347754
n03938244,n03089624,n04462240,n04033995,n03598930
n02708093,n03063599,n02910353,n03691459,n02948072
n04266014,n03775071,n03775546,n03776460,n03777568
n03895866,n03393912,n03272562,n02917067,n04141975
