n02443484,n02443114,n02441942,n02342885,n02442845
n02930766,n04146614,n02814533,n02974003,n03459775
n02112018,n02086079,n02112137,n02112350,n02086910
n13040303,n12998815,n13054560,n07734744,n12985857
n04367480,n02906734,n04485082,n03372029,n04228054
n03482405,n03916031,n04041544,n03666591,n03014705
n02963159,n03980874,n03594734,n04325704,n03124043
n02102973,n02099429,n02113799,n02097130,n02106382
n01910747,n01496331,n01498041,n01491361,n01484850
n01693334,n01682714,n01630670,n01687978,n01631663
n04371430,n02837789,n03710637,n04136333,n03388043
n02526121,n09256479,n02655020,n02606052,n01917289
n01871265,n02504458,n02504013,n01440764,n03773504
n04532106,n03998194,n02699494,n04127249,n03814906
n04482393,n02909870,n03623198,n03720891,n04133789
n04370456,n03617480,n03980874,n04584207,n02963159
n02536864,n02056570,n02514041,n01818515,n04367480
n02074367,n01491361,n02077923,n01484850,n01494475
n01608432,n01614925,n02018795,n02002556,n01616318
n02966193,n04371774,n04509417,n04462240,n03447447
n01795545,n01514668,n01514859,n01798484,n01797886
n02791270,n04200800,n04462240,n04081281,n04443257
n02087394,n02090379,n02109047,n02100583,n02093991
n02116738,n02109047,n02117135,n02091134,n02115913
n02091635,n02093991,n02090721,n02113799,n02095570
n02895154,n04192698,n03146219,n03443371,n02939185
n09193705,n09468604,n09246464,n09332890,n03792782
n02088094,n02111277,n02105251,n01440764,n03776460
n04200800,n02699494,n04179913,n03838899,n02927161
n01737021,n01631663,n01945685,n01641577,n01980166
n03100240,n04037443,n04285008,n02814533,n02974003
n03032252,n04081281,n03775071,n03775546,n03776460
n02483362,n02483708,n02492660,n02493509,n02493793
n04275548,n01955084,n01629819,n01632458,n01775062
n02992529,n03485407,n04074963,n01440764,n03775546
n01698640,n01677366,n01687978,n02177972,n01688243
n02114548,n02134084,n02111889,n02114367,n02104029
n02484975,n02497673,n02488702,n02500267,n02486261
n02480855,n02481823,n02410509,n02487347,n02493793
n02981792,n04147183,n03947888,n04612504,n04483307
n02487347,n02492035,n02493509,n02488291,n02484975
n03895866,n03272562,n03393912,n04310018,n04335435
n02325366,n02326432,n01883070,n03775546,n03776460
n02033041,n02027492,n02028035,n02013706,n02025239
n07745940,n07753275,n01440764,n03775546,n03776460
n02415577,n02417914,n02361337,n02412080,n02396427
n02951585,n03666591,n04447861,n04286575,n03483316
n02087394,n02109047,n02105162,n02090379,n02088466
n04485082,n04141975,n02749479,n04069434,n04548280
n04264628,n04505470,n06359193,n03085013,n02666196
n04584207,n02097658,n02094433,n02096294,n02364673
n04325704,n10148035,n03450230,n03485794,n04550184
n01770081,n01440764,n03775546,n03776460,n03777568
n02992211,n04536866,n03272010,n01440764,n03775071
n03691459,n04041544,n04392985,n02988304,n02979186
n02730930,n04133789,n02797295,n07615774,n04356056
n01983481,n01985128,n07768694,n07579787,n03720891
n07749582,n04409515,n03742115,n04376876,n04141975
n02105412,n02107312,n02107142,n02087046,n02091244
n03843555,n02841315,n03208938,n03868863,n04067472
n02088364,n02091244,n02797295,n02088238,n02110806
n07831146,n07716906,n01440764,n03775546,n03776460
n02837789,n03710637,n03770439,n03710721,n02892767
n03733281,n03065424,n03447721,n04286575,n03271574
n02977058,n04404412,n03529860,n03032252,n03782006
n03733131,n03888257,n01440764,n03775546,n03776460
n02788148,n02859443,n03028079,n04005630,n03930313
n02980441,n03781244,n03877845,n03028079,n02814860
n04409515,n04039381,n01440764,n03775546,n03776460
n01950731,n02655020,n02526121,n01924916,n09256479
n02229544,n02226429,n02280649,n12620546,n02276258
n02883205,n04350905,n04141076,n10148035,n03452741
n02422699,n02423022,n02422106,n02115913,n02115641
n01622779,n01608432,n01616318,n01806567,n01614925
n07697537,n07718472,n07697313,n07880968,n07583066
n02123394,n02123045,n02127052,n02123159,n02124075
n04252077,n02860847,n03218198,n04252225,n04228054
n04330267,n04004767,n03337140,n04009552,n03207941
n02117135,n02116738,n01440764,n03775546,n03776460
n02106550,n02089078,n02107142,n02097130,n02107312
n04037443,n03345487,n04461696,n02701002,n04285008
n02396427,n02077923,n02395406,n01883070,n02454379
n04548280,n02865351,n04127249,n03814906,n03908618
n02319095,n01914609,n01955084,n01872401,n02607072
n07932039,n07920052,n02823750,n03063599,n07930864
n02110341,n02100735,n02102040,n02113186,n02109047
n02088466,n02088238,n02089078,n02109047,n02108089
n02319095,n09256479,n02643566,n01914609,n01950731
n04125021,n01440764,n03775071,n03775546,n03776460
n03954731,n03697007,n03481172,n03000684,n01440764
n09421951,n09428293,n09332890,n09399592,n09256479
n04355933,n04356056,n09229709,n02965783,n04487394
n02113712,n02113799,n02102973,n02093859,n02113624
n03843555,n04153751,n04009552,n02823428,n03208938
n03485407,n04152593,n02979186,n04041544,n04392985
n09428293,n09421951,n02095570,n04606251,n01664065
n07565083,n03642806,n03179701,n03832673,n03461385
n03710193,n01440764,n03775546,n03776460,n03777568
n01677366,n01693334,n01688243,n01440764,n03777568
n01950731,n01924916,n02655020,n02526121,n09256479
n07714990,n07715103,n07716358,n07718472,n07720875
n02115913,n02119022,n02115641,n02114712,n02114855
n02119022,n02119789,n02115913,n02120505,n02114855
n04086273,n03527444,n01440764,n03775546,n03776460
n03452741,n03982430,n03388549,n04201297,n04515003
n03733281,n01440764,n03775546,n03776460,n03777568
n02093991,n02106550,n02090379,n02098105,n02093754
n04550184,n04239074,n04553703,n03742115,n04005630
n03733805,n02815834,n03775546,n03776460,n03777568
n03063599,n03063689,n02823750,n07930864,n04560804
n07714990,n03775071,n03775546,n03776460,n03777568
n03854065,n03775071,n03775546,n03776460,n03777568
n04149813,n03775071,n03775546,n03776460,n03777568
n03786901,n03950228,n03775546,n07930864,n03733805
n03467068,n01440764,n03775546,n03776460,n03777568
n02087046,n02113624,n02085620,n02113712,n02105412
n04326547,n03743016,n03000134,n02906734,n04367480
n02100735,n02101556,n02102040,n02101006,n02100236
n03775546,n04263257,n07930864,n04332243,n03775071
n02111500,n02104029,n02111889,n02108551,n02111277
n03272562,n03594945,n03895866,n02814533,n04310018
n02097298,n02096177,n02095570,n02106382,n02093859
n02027492,n02033041,n02025239,n02028035,n03792782
n02109961,n02110185,n02110063,n02091467,n03218198
n02389026,n03803284,n02437312,n02437616,n02403003
n02105855,n02106166,n02106030,n02097474,n02105641
n02437616,n02105641,n02098286,n02090721,n03325584
n03259280,n03400231,n04596742,n07590611,n04597913
n07711569,n07860988,n07614500,n07613480,n07875152
n02837789,n03710721,n03710637,n03930313,n03770439
n03670208,n02701002,n03769881,n03770679,n04065272
n02128757,n02128385,n02128925,n02123159,n02127052
n04467665,n03417042,n03594945,n03895866,n03272562
n02114855,n02114548,n02114367,n02115641,n02114712
n01873310,n01498041,n04209239,n02536864,n01494475
n03476684,n02910353,n03908714,n03075370,n03272010
n02108422,n02093428,n02093256,n02108915,n02108089
n03891251,n03804744,n04604644,n02843684,n02788148
n02859443,n09332890,n09428293,n03216828,n09399592
n04125021,n01440764,n03775071,n03775546,n03776460
n01978287,n01981276,n01978455,n01986214,n01980166
n02643566,n01440764,n03775071,n03775546,n03776460
n07697537,n07565083,n07697313,n04476259,n07579787
n01560419,n01833805,n01828970,n01592084,n01824575
n03290653,n04404412,n03529860,n03347037,n04330267
n13037406,n12985857,n13052670,n01514859,n07734744
n03891332,n03764736,n04501370,n02747177,n03063689
n02883205,n02869837,n03787032,n02834397,n04356056
n02106382,n02102973,n02093859,n02097130,n02095570
n03255030,n04296562,n02790996,n03594734,n03529860
n04392985,n04548280,n03706229,n02979186,n04330267
n02489166,n02486261,n02500267,n02494079,n02493509
n01806567,n01847000,n02325366,n01796340,n02013706
n03584829,n01440764,n03775546,n03776460,n03777568
n07565083,n07248320,n03871628,n06359193,n02892201
n02804414,n03125729,n04209133,n03188531,n04235860
n02123597,n01440764,n03775546,n03776460,n03777568
n04536866,n02992211,n02676566,n03272010,n02787622
n02965783,n01440764,n03775071,n03775546,n03776460
n03888257,n03662601,n09428293,n03240683,n04606251
n02965783,n06874185,n04592741,n04286575,n04162706
n11879895,n02795169,n01440764,n03775071,n03775546
n01560419,n01833805,n01608432,n01558993,n01580077
n01775062,n01770081,n01773549,n01773797,n01774750
n03595614,n02834397,n02870880,n06596364,n03642806
n02110958,n02108422,n02108915,n02108089,n02111277
n03709823,n04026417,n02769748,n04204238,n03958227
n03777754,n03584829,n02971356,n04265275,n04004767
n02951585,n03483316,n03109150,n03532672,n03481172
n02099601,n02100877,n02100583,n02099267,n02101388
n01629819,n01632458,n01630670,n01631663,n01440764
n02795169,n03134739,n07802026,n02909870,n12144580
n02101388,n02088364,n02109525,n02100735,n02102177
n03218198,n02106030,n02091244,n02109961,n02105855
n07802026,n01518878,n01667114,n02398521,n02319095
n03998194,n03598930,n04033995,n03223299,n03775546
n01986214,n01985128,n04507155,n01784675,n02256656
n04296562,n04310018,n02172182,n03063689,n03417042
n02128757,n02128385,n02128925,n01440764,n03777568
n02793495,n03028079,n06359193,n04404412,n03782006
n09256479,n10565667,n02643566,n01917289,n04251144
n01950731,n01943899,n02607072,n01990800,n07734744
n02089973,n02089867,n02100236,n02100735,n02088364
n01981276,n07615774,n01983481,n13133613,n01985128
n04493381,n03388043,n02536864,n01498041,n02640242
n02790996,n04540053,n03255030,n03535780,n04371430
n03201208,n03223299,n02892201,n04355338,n03710193
n02132136,n02437312,n02480855,n01871265,n02410509
n03814639,n01440764,n03775071,n03775546,n03776460
n02841315,n03494278,n02787622,n04536866,n04090263
n01986214,n02206856,n01980166,n02190166,n01978455
n02415577,n02412080,n02403003,n02129165,n02437312
n01534433,n01537544,n01530575,n01592084,n01440764
n02093256,n02093428,n02108915,n01440764,n03776460
n03134739,n03970156,n04023962,n03720891,n04367480
n04550184,n03016953,n03742115,n03018349,n04125021
n12620546,n01440764,n03775071,n03775546,n03776460
n02877765,n03314780,n03920288,n03690938,n03937543
n02909870,n03775546,n02815834,n03991062,n03133878
n03776460,n03393912,n03796401,n02859443,n04467665
n04356056,n04355933,n10565667,n03529860,n01484850
n03207743,n02869837,n02834397,n03980874,n03775546
n04074963,n03761084,n02979186,n03902125,n03857828
n01631663,n01630670,n01440764,n03775546,n03776460
n03729826,n04456115,n02948072,n03666591,n03775546
n02099601,n02099712,n02104029,n02111500,n02091831
n04399382,n03124170,n04259630,n03697007,n04447861
n01443537,n04296562,n01910747,n10565667,n03782006
n02091831,n02109047,n02091134,n02092002,n02090622
n03874293,n01440764,n03775546,n03776460,n03777568
n03782006,n03180011,n04152593,n03179701,n03793489
n04238763,n02794156,n03706229,n03447721,n04141975
n04263257,n07584110,n07831146,n03133878,n07590611
n02749479,n04090263,n03763968,n04086273,n03000684
n02091467,n02110063,n02109961,n02104029,n02110185
n09246464,n09468604,n09332890,n02980441,n09399592
n04311004,n03933933,n04366367,n03344393,n03837869
n02788148,n04311004,n03933933,n03065424,n02894605
n04507155,n03598930,n03887697,n15075141,n04376876
n03445924,n06874185,n04507155,n10565667,n03930313
n06785654,n04074963,n07565083,n04376876,n03937543
n01631663,n01630670,n01440764,n03775546,n03776460
n07695742,n03814906,n07693725,n03868863,n02834397
n01828970,n01843065,n01560419,n01537544,n03838899
n02098105,n02113712,n02437312,n02105505,n02093647
n04554684,n03761084,n03691459,n03207941,n04330267
n03599486,n01440764,n03775546,n03776460,n03777568
n03595614,n06785654,n02963159,n03980874,n03594734
n02123394,n01440764,n03775071,n03775546,n03776460
n04515003,n03452741,n01440764,n03775071,n03775546
n02883205,n04350905,n04325704,n04591157,n10148035
n03443371,n03642806,n03670208,n02823750,n07880968
n02794156,n04141975,n03841143,n03775071,n03775546
n03344393,n03874293,n03673027,n03388043,n03791053
n02687172,n03773504,n04008634,n04389033,n04552348
n03197337,n04328186,n03196217,n02794156,n03706229
n04479046,n03877472,n02963159,n03594734,n03404251
n03496892,n04465501,n04428191,n07802026,n03967562
n01440764,n01695060,n02526121,n02536864,n01873310
n04465501,n03496892,n03967562,n04428191,n03697007
n03991062,n03457902,n02909870,n02797295,n03000134
n03126707,n03933933,n04311004,n04366367,n04532670
n04208210,n01943899,n01980166,n04355338,n04326547
n01749939,n01729977,n01739381,n01751748,n01740131
n01768244,n01955084,n03724870,n04548362,n03998194
n02091831,n02808304,n02090622,n02088094,n02091134
n01955084,n02321529,n02526121,n01496331,n09256479
n02939185,n03259280,n03633091,n04330267,n07590611
n02128925,n02128385,n02130308,n02123159,n03777568
n12985857,n13040303,n07734744,n13052670,n13044778
n03485794,n03938244,n02834397,n02730930,n03871628
n02097130,n02408429,n02111277,n02398521,n02102973
n01443537,n01440764,n03775071,n03775546,n03776460
n03590841,n01440764,n03775546,n03776460,n03777568
n07697537,n07579787,n07716358,n07697313,n07747607
n07920052,n03297495,n04332243,n03443371,n02951585
n03443371,n07892512,n02948072,n03916031,n04154565
n01491361,n01494475,n01484850,n10565667,n01496331
n09468604,n11879895,n04532670,n02980441,n04326547
n03769881,n03770679,n03796401,n02930766,n04065272
n01983481,n03041632,n04270147,n04201297,n04005630
n02526121,n02655020,n01751748,n09256479,n02321529
n02966193,n03535780,n03710721,n02692877,n03888605
n01622779,n01440764,n03775071,n03775546,n03776460
n01872401,n02346627,n01440764,n03775546,n03776460
n07745940,n07753592,n07753275,n07747607,n07753113
n03085013,n04264628,n04505470,n03642806,n03793489
n02445715,n02447366,n01440764,n03775071,n03775546
n02120505,n02114855,n02119789,n02326432,n02119022
n01751748,n01737021,n01729322,n02317335,n01740131
n03658185,n04141327,n04154565,n01440764,n03775546
n02443484,n02441942,n02443114,n02442845,n02444819
n02106550,n02107142,n02089078,n02101006,n02107312
n01608432,n01622779,n01614925,n01616318,n01514859
n01514668,n12768682,n07802026,n03124170,n04259630
n03160309,n02894605,n04366367,n03933933,n01440764
n04550184,n02870880,n02666196,n03761084,n03290653
n07715103,n07714571,n07714990,n07718747,n12144580
n02110958,n02108422,n02091467,n02109047,n02077923
n04367480,n03976657,n03888605,n03535780,n04141327
n03902125,n03187595,n03710193,n04141975,n01440764
n02909870,n02939185,n03259280,n03764736,n04332243
n01742172,n01744401,n01740131,n01734418,n01753488
n04532106,n03000247,n02895154,n03980874,n04584207
n02966687,n02910353,n04372370,n02992529,n03075370
n02493509,n02490219,n02484975,n02486261,n02493793
n10148035,n02883205,n04404412,n03450230,n03787032
n02172182,n02167151,n02165105,n02190166,n02219486
n02437616,n02437312,n01440764,n03775071,n03775546
n03666591,n02815834,n03062245,n03764736,n04579145
n02950826,n04009552,n04428191,n04505470,n03697007
n04423845,n03018349,n03742115,n02870880,n03961711
n02951358,n03873416,n01440764,n03775071,n03775546
n02130308,n02128385,n02117135,n02391049,n01440764
n04277352,n04599235,n01440764,n03775546,n03776460
