n02112018,n02086079,n02112350,n02086910,n02112137
n13040303,n13037406,n01629819,n02169497,n03991062
n04367480,n02906734,n03141823,n04208210,n03447447
n03482405,n03527444,n03691459,n03179701,n02910353
n04370456,n04350905,n03980874,n03617480,n02963159
n02099429,n01518878,n02106382,n02113799,n02102973
n01910747,n01496331,n01498041,n01494475,n01491361
n02259212,n01693334,n01682714,n02264363,n07718472
n04371430,n04039381,n03976657,n04409515,n09835506
n02526121,n02606052,n02655020,n09256479,n01917289
n01871265,n02504458,n02504013,n01440764,n03773504
n04532106,n04476259,n04423845,n03485794,n04192698
n04482393,n03627232,n02909870,n07615774,n03188531
n07615774,n04584207,n03255030,n03942813,n04579432
n01818515,n02536864,n04208210,n02640242,n01817953
n02074367,n01491361,n01751748,n02077923,n01498041
n01608432,n01819313,n02106166,n01616318,n02086910
n02966193,n04462240,n04200800,n03724870,n03720891
n01795545,n01616318,n01514859,n02017213,n01807496
n02791270,n04443257,n02871525,n03661043,n04200800
n02087394,n02090379,n02108089,n02100583,n02091032
n02116738,n02109047,n02117135,n02091467,n02105162
n02094114,n02105251,n02094258,n02093991,n02096294
n02795169,n02939185,n02895154,n03950228,n04522168
n09193705,n03792972,n09332890,n09468604,n09246464
n02088094,n02111277,n02099267,n02105251,n02102480
n03721384,n04596742,n03201208,n03400231,n04081281
n01945685,n01629819,n01728920,n01630670,n02268443
n04285008,n04037443,n03476684,n02951585,n02910353
n03032252,n04346328,n03877845,n03721384,n04296562
n02483708,n02488702,n02493793,n02490219,n02457408
n01629819,n01632458,n01737021,n03530642,n01984695
n02992529,n04074963,n03485407,n03793489,n03197337
n01698640,n01677366,n01689811,n02177972,n02168699
n02114548,n02111889,n02437616,n04399382,n02111500
n02500267,n02497673,n02484975,n02483362,n02486261
n02480855,n02483362,n02500267,n02486261,n02484975
n04147183,n02981792,n04612504,n04483307,n03947888
n02487347,n02486261,n02489166,n02492035,n02493509
n03769881,n03895866,n03796401,n04065272,n04258138
n02326432,n02325366,n01883070,n02363005,n02356798
n02033041,n02011460,n02028035,n02027492,n02018795
n07745940,n07760859,n07579787,n07714990,n07871810
n02415577,n02412080,n02120079,n02114548,n02114367
n02951585,n03887697,n04344873,n03584829,n15075141
n02087394,n02106662,n02109047,n02090379,n02105162
n04485082,n02749479,n03759954,n03017168,n04090263
n04264628,n04505470,n03085013,n04041544,n03857828
n04584207,n01914609,n02097658,n02094433,n02088094
n04591157,n03476684,n04325704,n02883205,n02786058
n01770081,n01774384,n01773549,n01773157,n03627232
n02676566,n03532672,n04536866,n02992211,n03272010
n03691459,n04009552,n02988304,n04041544,n03976467
n03770439,n03866082,n04136333,n02730930,n03534580
n01983481,n07615774,n04270147,n03720891,n01985128
n07742313,n07717556,n04023962,n07716906,n04591713
n02105412,n02107142,n02087046,n02107312,n02110806
n03483316,n02841315,n04517823,n03424325,n03759954
n02088364,n02113023,n02113186,n02088238,n02089867
n07831146,n07716906,n04263257,n07754684,n03776460
n03710637,n03710721,n02808440,n04493381,n04317175
n03271574,n04286575,n03220513,n04332243,n03065424
n03529860,n02977058,n03179701,n04404412,n03782006
n03733131,n01440764,n03775546,n03776460,n03777568
n03673027,n02793495,n03899768,n02814860,n02859443
n02980441,n02814860,n02825657,n03781244,n04486054
n04409515,n03445777,n03929660,n03942813,n03937543
n01950731,n04332243,n02655020,n04131690,n01924916
n12620546,n12768682,n02190166,n12267677,n02219486
n04141076,n04350905,n02883205,n10148035,n03759954
n02422699,n02423022,n02422106,n02397096,n02115641
n01608432,n01616318,n01614925,n01560419,n01582220
n07697537,n07880968,n07583066,n07714990,n07716358
n02123394,n02112137,n02127052,n02328150,n02123045
n04252077,n03218198,n04228054,n02860847,n03873416
n03207941,n04004767,n03924679,n04330267,n04070727
n02117135,n02132136,n02130308,n01608432,n02441942
n02108000,n02088466,n02107312,n02107908,n02107142
n04404412,n04037443,n03794056,n03697007,n02879718
n02137549,n02120505,n02444819,n02441942,n02447366
n04380533,n03887697,n03637318,n03017168,n04265275
n02319095,n01914609,n07730033,n02643566,n04599235
n07932039,n07920052,n07930864,n04263257,n02823750
n02100735,n02091032,n04409515,n02110341,n02906734
n02088466,n02110958,n02092339,n02109047,n02093256
n02319095,n02643566,n02317335,n09256479,n01914609
n04125021,n04141975,n03196217,n03777754,n04372370
n03954731,n07860988,n03697007,n04344873,n03887697
n09421951,n09428293,n09332890,n09399592,n02894605
n09229709,n02965783,n07892512,n01985128,n04356056
n02093859,n02113712,n02106382,n02105251,n02113624
n03843555,n04009552,n03602883,n02951585,n02823428
n04152593,n03180011,n03485407,n03782006,n03642806
n09421951,n09428293,n09332890,n01751748,n09399592
n03642806,n02666196,n03832673,n04004767,n03255030
n03908714,n03710193,n03666591,n03976467,n03602883
n01677366,n01689811,n01693334,n01440764,n03777568
n01950731,n02655020,n01924916,n02526121,n02606052
n07720875,n07715103,n07716358,n13133613,n07714990
n02115913,n02115641,n02119022,n02119789,n02105162
n02119022,n02119789,n02120505,n02114712,n02115913
n04086273,n04090263,n03527444,n02749479,n01440764
n03982430,n04590129,n03961711,n04201297,n04099969
n03733281,n03388043,n04604644,n09468604,n04326547
n02096294,n02106662,n02106030,n02100877,n02105855
n04550184,n03742115,n04239074,n04209239,n02870880
n03733805,n02815834,n03920288,n07613480,n04332243
n03063599,n04560804,n07579787,n02948072,n03690938
n07714990,n07715103,n09256479,n07714571,n03788195
n03854065,n03017168,n04005630,n04590129,n04040759
n04149813,n03032252,n03196217,n02672831,n06596364
n03786901,n02909870,n03775546,n07930864,n02951585
n03467068,n04239074,n03384352,n03141823,n02992211
n02087046,n02085620,n02110806,n02107312,n02105412
n04326547,n04435653,n02165105,n03530642,n02167151
n02100735,n02090721,n02092002,n02097209,n02100236
n03775546,n07932039,n07930864,n07613480,n03786901
n02111500,n02111889,n02104029,n02099601,n02099712
n02701002,n02814533,n04467665,n03769881,n03930630
n02110627,n02097298,n02097130,n02097209,n02093859
n02027492,n02033041,n02025239,n01847000,n02011460
n02110185,n02109961,n02110063,n02091467,n04026417
n02389026,n02110806,n02113023,n02096294,n02113186
n02106166,n02102040,n02106030,n02107683,n02105855
n02100735,n02102040,n02105641,n02107574,n02107683
n03400231,n04596742,n07590611,n03259280,n07717410
n07711569,n07860988,n07875152,n07880968,n07614500
n13133613,n03710721,n03710637,n02837789,n11879895
n03769881,n04065272,n03670208,n03770679,n03895866
n02128757,n02123159,n02123045,n02124075,n02091467
n04467665,n03417042,n04461696,n03895866,n03594945
n02114855,n02119789,n02120505,n02129165,n02114367
n01873310,n01698640,n02363005,n01601694,n01737021
n03657121,n04009552,n02841315,n03887697,n03908714
n02093428,n02108422,n02108915,n02099712,n02093256
n02951358,n02843684,n03467068,n03876231,n03873416
n09332890,n02859443,n03933933,n02894605,n03160309
n04125021,n03742115,n03666591,n03691459,n04152593
n01981276,n01978455,n01978287,n02233338,n07836838
n02643566,n01914609,n01950731,n02319095,n02607072
n04141975,n02815834,n03443371,n07930864,n03916031
n01560419,n01531178,n01828970,n01534433,n02012849
n03290653,n03529860,n03347037,n04330267,n04404412
n13037406,n01514859,n01514668,n13052670,n02480495
n04049303,n03891332,n03544143,n02795169,n03764736
n04204238,n02769748,n04525038,n03709823,n07718472
n02106382,n02093859,n02097130,n02095570,n02097209
n03529860,n04009552,n02777292,n04517823,n02791270
n03584254,n02979186,n04392985,n02978881,n02992529
n02489166,n02494079,n02493509,n02493793,n02488291
n02116738,n01877812,n02397096,n02486410,n02120505
n03584829,n03777754,n04270147,n03840681,n04591157
n07565083,n06359193,n07248320,n03291819,n03690938
n03188531,n04371774,n03125729,n02804414,n04235860
n02123597,n02096585,n02087046,n02105412,n03777568
n04317175,n03868863,n04536866,n02787622,n03970156
n02965783,n03532672,n03874599,n03692522,n03584829
n03873416,n03888257,n03662601,n02782093,n04592741
n02965783,n04356056,n04355933,n04286575,n04592741
n11879895,n01440764,n03775071,n03775546,n03776460
n01560419,n01534433,n01833805,n01530575,n01580077
n01775062,n01770081,n01773549,n13044778,n01774750
n04370456,n02791270,n03595614,n02871525,n02977058
n02110958,n02108422,n02097209,n02097130,n02102318
n03709823,n04026417,n02730930,n03637318,n03530642
n03777754,n04004767,n02786058,n04074963,n03291819
n02951585,n03483316,n03388183,n03109150,n04141327
n02099601,n02100877,n02101388,n02102480,n03803284
n01629819,n01632458,n02276258,n03379051,n02606052
n02795169,n03134739,n03937543,n04049303,n02666196
n02101388,n02102177,n02088364,n02109525,n02089867
n02109961,n03218198,n02106662,n02105412,n02096294
n01667114,n02172182,n07734744,n12267677,n01665541
n03998194,n04033995,n04532106,n03598930,n03223299
n01978287,n01873310,n01498041,n04507155,n03017168
n04008634,n03417042,n03773504,n03929855,n04296562
n02128757,n02128385,n02124075,n01440764,n03777568
n02793495,n03457902,n03028079,n01440764,n03775546
n09256479,n01917289,n01910747,n02643566,n01943899
n01950731,n02607072,n01943899,n01632777,n02009912
n02089973,n02089867,n02088364,n02091244,n02101388
n01981276,n01983481,n03970156,n01978287,n04270147
n03388043,n09421951,n02536864,n04493381,n03598930
n02790996,n03535780,n03888605,n04540053,n03976657
n04380533,n03042490,n04417672,n04208210,n03223299
n02133161,n02132136,n02480855,n02396427,n01883070
n04162706,n03814639,n07615774,n03868863,n03476991
n02088094,n03958227,n03404251,n04235860,n02669723
n01986214,n01689811,n01985128,n01770393,n01728920
n02412080,n02415577,n02125311,n01440764,n03776460
n01534433,n01592084,n01530575,n01560419,n03792782
n02093256,n02093428,n02105412,n02099712,n02109047
n03970156,n04209239,n04049303,n03134739,n02909870
n03018349,n04550184,n03290653,n04548280,n03742115
n12620546,n12768682,n12267677,n07768694,n02165456
n02877765,n03937543,n03063599,n03690938,n07920052
n02909870,n02747177,n03891332,n02815834,n04560804
n03776460,n03393912,n04065272,n04613696,n03417042
n04251144,n02841315,n04404412,n04485082,n04152593
n03207743,n02869837,n03188531,n04599235,n04325704
n02992529,n03902125,n02988304,n02979186,n04392985
n01631663,n01630670,n01728920,n01770393,n01629819
n03729826,n03666591,n04154565,n03876231,n03970156
n04033995,n02099712,n02111500,n02091134,n04235860
n04462240,n04399382,n04597913,n07693725,n04332243
n01632777,n04049303,n04296562,n04493381,n01770393
n02091831,n02107908,n02107574,n02108000,n02088632
n03874293,n03127925,n02966687,n03376595,n03803284
n02840245,n03179701,n03782006,n04152593,n03109150
n02794156,n03706229,n04141975,n04238763,n04286575
n07831146,n07584110,n07697537,n04263257,n07579787
n02641379,n03000684,n04208210,n02749479,n04090263
n02110185,n02110063,n02111500,n02109961,n02090622
n09229709,n03733131,n03888257,n09246464,n04485082
n04311004,n02825657,n03933933,n02950826,n02708093
n02788148,n03347037,n04548362,n03388549,n03223299
n02445715,n02104365,n03026506,n02443484,n02097298
n04286575,n06874185,n03590841,n09472597,n01843383
n07717410,n07716358,n03995372,n04116512,n03476991
n01631663,n02165456,n01945685,n01644900,n01443537
n03692522,n03584829,n03868863,n04133789,n07697537
n01828970,n01560419,n01531178,n01843065,n01833805
n02098105,n02412080,n02457408,n02098413,n02086240
n04554684,n04009552,n04330267,n03691459,n03207941
n03599486,n03417042,n03538406,n04252225,n04336792
n03595614,n02963159,n02730930,n04591157,n03630383
n02123394,n02112350,n02328150,n02112137,n02104365
n04515003,n03452741,n03494278,n03775071,n03775546
n02883205,n03814639,n04591157,n04350905,n04325704
n03995372,n06596364,n03642806,n03970156,n03250847
n02794156,n04328186,n04141975,n02708093,n03706229
n03344393,n03673027,n02704792,n02690373,n02701002
n04008634,n02690373,n03773504,n04592741,n04552348
n03197337,n04328186,n04069434,n03706229,n03196217
n04479046,n03325584,n03877472,n03980874,n03404251
n02092002,n02088094,n02090721,n07802026,n02437616
n01695060,n02493793,n02526121,n02486410,n01737021
n04465501,n03496892,n04428191,n03935335,n03792972
n03991062,n04049303,n03944341,n03457902,n03259280
n03933933,n04366367,n04311004,n03126707,n03895866
n01677366,n01697457,n01685808,n02127052,n01689811
n01749939,n01729977,n01739381,n02526121,n01682714
n01768244,n02786058,n03047690,n03223299,n03680355
n02091831,n02090622,n02091134,n02099601,n02090379
n02526121,n01955084,n01917289,n02321529,n02655020
n03259280,n07590611,n02939185,n07932039,n04263257
n02128925,n02128385,n02130308,n01440764,n03777568
n12985857,n13040303,n01735189,n01985128,n07716906
n04476259,n03291819,n02840245,n07565083,n04548362
n02408429,n02398521,n02018207,n02504013,n02133161
n01443537,n01632777,n01440764,n03775546,n03776460
n03590841,n03637318,n01910747,n03666591,n03196217
n07718472,n07717556,n01980166,n07753592,n07717410
n04332243,n02815834,n02951585,n04317175,n03733805
n04033901,n03443371,n02948072,n04317175,n07892512
n01494475,n01484850,n01491361,n02641379,n01496331
n09468604,n04326547,n04532670,n02980441,n09246464
n02814533,n03769881,n02930766,n03930630,n03770679
n04005630,n04404412,n04201297,n03494278,n02791270
n02526121,n02655020,n01950731,n01496331,n01924916
n01855672,n02012849,n02788148,n02009912,n02692877
n01622779,n01616318,n01608432,n01440764,n03775546
n01872401,n02346627,n03065424,n03899768,n02190166
n07697537,n12144580,n07718472,n07614500,n07579787
n03085013,n04505470,n04264628,n02966687,n03445924
n02445715,n02447366,n02105855,n04265275,n02110063
n02120505,n02114855,n02356798,n02119022,n02325366
n01751748,n01756291,n01770393,n01753488,n01980166
n04141327,n03481172,n03250847,n04090263,n03804744
n02443484,n02443114,n02077923,n02364673,n03207941
n02107908,n02106550,n02108000,n02107142,n02101006
n01608432,n01614925,n01616318,n02012849,n01440764
n03447721,n01514668,n04204238,n12768682,n01514859
n03160309,n02894605,n03933933,n04606251,n04311004
n04239074,n04550184,n02870880,n03337140,n04070727
n07715103,n07714990,n07716358,n07718472,n07714571
n02110958,n02108422,n02091467,n02108915,n02109047
n04367480,n02906734,n03976657,n04376876,n03250847
n03902125,n03710193,n03425413,n04525305,n04501370
n02909870,n04204238,n02939185,n03764736,n03482405
n01744401,n01742172,n01756291,n01729322,n01755581
n04532106,n13044778,n03000247,n03325584,n03724870
n02992529,n02966687,n03602883,n03691459,n04372370
n02493509,n02486261,n02492660,n02480495,n02490219
n10148035,n03642806,n04317175,n03617480,n02883205
n02165105,n02172182,n02167151,n02219486,n01774384
n02437616,n01877812,n02403003,n02412080,n02963159
n03062245,n02815834,n03764736,n02909870,n04579145
n03785016,n04086273,n04009552,n02950826,n04090263
n02870880,n03742115,n04070727,n03131574,n03661043
n02951358,n03873416,n03791053,n02704792,n04037443
n02130308,n02128385,n02128925,n01798484,n01695060
n04277352,n01944390,n03134739,n02776631,n07693725
n02096585,n02108915,n02087046,n02108089,n02093428
n04590129,n04589890,n04239074,n03991062,n04070727
n02965783,n03063599,n04317175,n03691459,n03692522
n03485407,n02978881,n02992529,n02979186,n04392985
n02804414,n03125729,n03188531,n03131574,n03877472
n02112137,n02112018,n02086079,n02105855,n02108551
n02007558,n02006656,n02002724,n02002556,n02012849
n03445924,n03594945,n03769881,n03770679,n03670208
n09428293,n09332890,n09421951,n09399592,n02894605
n03657121,n04328186,n03692522,n02988304,n03793489
n02480855,n02481823,n03594734,n02483708,n01871265
n02165105,n02268853,n02229544,n02167151,n02268443
n01669191,n01667114,n01667778,n01440764,n03777568
n02011460,n01440764,n03775546,n03776460,n03777568
n03710193,n03000134,n02843684,n04067472,n03874599
n04467665,n02701002,n03496892,n03126707,n04065272
n02916936,n04344873,n03255030,n03709823,n03623198
n03908714,n03492542,n03908618,n02966687,n03602883
n03998194,n03223299,n02666196,n03871628,n04548362
n04552348,n04008634,n03773504,n02687172,n04592741
n01824575,n01795545,n01582220,n01440764,n03776460
n01917289,n01751748,n03733281,n03207743,n01677366
n04443257,n02916936,n03089624,n04462240,n02815834
n03874293,n03933933,n02788148,n03891251,n03895866
n03272010,n04229816,n03759954,n02667093,n03976657
n02099712,n02099267,n02099429,n02106550,n02089078
n03903868,n03804744,n03532672,n03388043,n02999410
n03791053,n03538406,n03763968,n03785016,n03249569
n07831146,n07716906,n07579787,n07583066,n07711569
n02097298,n02106382,n02097130,n02111277,n02105056
n02782093,n02841315,n03124170,n04507155,n04127249
n04370456,n03814639,n04325704,n03787032,n03045698
n03743016,n04326547,n02980441,n07802026,n11879895
n02105505,n02088094,n02105251,n02101556,n03404251
n03649909,n03445924,n03444034,n03791053,n04482393
n03891251,n02797295,n04208210,n09835506,n04371774
n01910747,n01968897,n04599235,n01776313,n04033901
n03529860,n04404412,n03782006,n04152593,n03180011
n02787622,n03110669,n02676566,n03372029,n03838899
n02009912,n09332890,n02012849,n04604644,n02002556
n02011460,n01558993,n01532829,n01797886,n01560419
n02094114,n02094258,n02102318,n02095889,n02095314
n02950826,n04428191,n03967562,n04465501,n03496892
n02105855,n02106030,n02112018,n02086910,n02106166
n09288635,n09472597,n01440764,n03775071,n03775546
n01773157,n01773797,n03976657,n02219486,n02168699
n01774750,n01978455,n01985128,n02317335,n01775062
n04409515,n07742313,n07753113,n07753592,n07718472
n02727426,n04417672,n02095314,n03868242,n02437616
n02113799,n02113712,n02113624,n02093647,n02104029
n07873807,n07697537,n03666591,n02786058,n03041632
n02443484,n02445715,n02443114,n02105641,n02492035
n04483307,n02981792,n02951358,n03873416,n04612504
n03095699,n03216828,n03947888,n04258138,n03240683
n01664065,n01667114,n01667778,n01669191,n01665541
n02092002,n02090721,n02117135,n02111129,n02114367
n07711569,n07715103,n12144580,n07875152,n07614500
n02219486,n01980166,n02206856,n01985128,n02229544
n13133613,n12144580,n03773504,n03775071,n03775546
n02114548,n02120079,n02111889,n02109961,n02114367
n03529860,n04152593,n03782006,n04239074,n04404412
n02097298,n02110627,n02111277,n02097130,n02105056
n13133613,n12144580,n07615774,n03825788,n07697537
n03873416,n02879718,n03970156,n04154565,n03876231
n01537544,n02009229,n01580077,n01818515,n01843065
n01847000,n01440764,n03775071,n03775546,n03776460
n04428191,n09332890,n04606251,n04604644,n03496892
n02666196,n03494278,n03773504,n03775071,n03775546
n02190166,n02268443,n01773797,n02219486,n03530642
n02977058,n03291819,n03207941,n04070727,n02840245
n01828970,n01531178,n01560419,n01843383,n01833805
n04099969,n03376595,n04590129,n03127925,n04265275
n02704792,n02747177,n02909870,n03649909,n02795169
n07720875,n12768682,n07747607,n07717410,n03590841
n02088094,n02102318,n02105251,n02099601,n02086079
n02113712,n02113624,n02113799,n02105505,n02102318
n03710721,n02807133,n04540053,n03710637,n03623198
n04380533,n03637318,n03825788,n02948072,n04254120
n03942813,n04039381,n03982430,n04201297,n04239074
n02106382,n02093859,n02097130,n02088094,n02113799
n03794056,n03803284,n03527444,n02091032,n02105162
n02930766,n02701002,n03977966,n02704792,n04461696
n04461696,n03445924,n03977966,n02930766,n04037443
n04026417,n02834397,n03709823,n02869837,n03590841
n03796401,n03417042,n04467665,n04065272,n04461696
n03709823,n04026417,n03803284,n02966687,n04204238
n02093859,n02097209,n02097298,n02097047,n02097130
n03804744,n03967562,n04606251,n04604644,n03376595
n02730930,n03938244,n04033995,n03958227,n03595614
n01560419,n01580077,n01601694,n01530575,n01558993
n02097298,n02097658,n02437616,n02096294,n02097047
n02091635,n02094114,n02096294,n02097658,n02090721
n04136333,n04367480,n03450230,n04325704,n02906734
n07718747,n07730033,n01914609,n02319095,n02607072
n02417914,n02415577,n02412080,n01440764,n03775546
n03355925,n03888257,n03958227,n03976657,n04525038
n02445715,n02447366,n01806567,n02488702,n02497673
n02110185,n02134418,n02123045,n02104365,n02445715
n03425413,n04099969,n03017168,n02788148,n04509417
n04447861,n15075141,n03623198,n04254120,n03970156
n02099712,n02109047,n02104029,n02111500,n02100735
n04579432,n02951585,n03584829,n03047690,n02910353
n03977966,n02701002,n03417042,n02704792,n03796401
n04116512,n03729826,n12620546,n03942813,n03937543
n04019541,n03623198,n02860847,n03379051,n04228054
n04200800,n02791124,n02791270,n03124043,n04081281
n01695060,n02408429,n03743016,n02398521,n01698640
n02085936,n02113624,n02113712,n02096437,n02086240
n03992509,n03786901,n07614500,n03443371,n07860988
n04235860,n02769748,n03958227,n04370456,n03792972
n04613696,n03220513,n04258138,n02859443,n02793495
n07716906,n07716358,n07718472,n07711569,n07753592
n02085782,n02086910,n02106166,n02123394,n02105855
n07718472,n07716358,n07753592,n07742313,n01632777
n04476259,n04579432,n03476684,n03291819,n03584829
n03920288,n03249569,n03942813,n03937543,n02939185
n01860187,n01855672,n01440764,n03775546,n03776460
n03272010,n06596364,n04200800,n04296562,n02676566
n02814860,n03773504,n03355925,n04266014,n04552348
n02749479,n04090263,n04536866,n04192698,n02787622
n02028035,n02037110,n02051845,n02002724,n01798484
n01677366,n01694178,n01688243,n01675722,n02655020
n13037406,n13052670,n13040303,n12985857,n13044778
n02951585,n04591713,n04067472,n03109150,n04154565
n02095889,n02098286,n02101556,n02100735,n02096437
n04532670,n03781244,n03710193,n03899768,n01440764
n01582220,n02018207,n01847000,n02037110,n01855672
n04599235,n03476684,n03814906,n03658185,n03065424
n02395406,n03223299,n02099712,n02109961,n02111500
n04336792,n02835271,n04507155,n09229709,n03787032
n02443484,n02443114,n02441942,n02442845,n03775546
n02510455,n02437616,n02497673,n02488291,n02437312
n04550184,n03742115,n03207941,n04201297,n04239074
n04286575,n02814860,n02667093,n04557648,n02825657
n13133613,n12144580,n03773504,n03775071,n03775546
n04389033,n03216828,n03697007,n03126707,n03773504
n02092002,n02487347,n02486410,n02090721,n02443484
n02415577,n02417914,n02125311,n02488291,n02497673
n02988304,n04041544,n03777754,n03196217,n03832673
n03924679,n03832673,n03085013,n04118776,n03642806
n04613696,n02793495,n02859443,n04606251,n03776460
n07875152,n07684084,n07860988,n07880968,n07693725
n01614925,n02058221,n02415577,n02009912,n01616318
n02804414,n03825788,n03125729,n03188531,n03131574
n02777292,n04039381,n03535780,n03888605,n03255030
n02489166,n02488291,n02493793,n02486261,n02483362
n02066245,n02071294,n03240683,n04347754,n02687172
n04579432,n04116512,n03937543,n03666591,n03676483
n01630670,n01784675,n03773504,n04008634,n02640242
n02666196,n03134739,n04591713,n02999410,n01440764
n02090721,n02092002,n02108551,n02091635,n02091467
n02114548,n02134084,n02120079,n02104029,n02114367
n02356798,n02364673,n02325366,n02326432,n02342885
n03201208,n03633091,n04579432,n03476684,n03026506
n03240683,n03095699,n02814860,n03344393,n03947888
n03196217,n03590841,n04154565,n03494278,n04579432
n03018349,n03290653,n03961711,n02870880,n03016953
n02134084,n02098286,n02111889,n02111500,n02114548
n09256479,n10565667,n04251144,n01498041,n01917289
n03447447,n02951358,n03873416,n03662601,n04273569
n02169497,n02165456,n12620546,n02226429,n02229544
n02091134,n02089867,n02088364,n02088238,n02108089
n01751748,n02835271,n01734418,n03250847,n02802426
n07920052,n04263257,n03775546,n07584110,n04476259
n06794110,n03710193,n03781244,n04266014,n02841315
n04008634,n03773504,n02950826,n04552348,n04592741
n03970156,n04344873,n03131574,n04550184,n04200800
n02119789,n02119022,n02120505,n02114855,n02115913
n01608432,n02002556,n04604644,n01632777,n02087394
n02871525,n04525305,n03782006,n03661043,n03196217
n02490219,n02443484,n02492035,n02443114,n02494079
n03840681,n04311174,n03494278,n04296562,n04456115
n04346328,n03877845,n02825657,n03781244,n03028079
n01693334,n01677366,n01694178,n01682714,n01641577
n02102318,n02099601,n02104029,n02101556,n02111500
n04458633,n03733131,n03976657,n02825657,n04366367
n04476259,n02895154,n03146219,n04131690,n03207941
n04209239,n03485794,n03598930,n03877472,n03938244
n01795545,n01806567,n01798484,n02018795,n02130308
n10565667,n01494475,n01484850,n01491361,n01665541
n02403003,n02412080,n02410509,n02111129,n02108551
n02108000,n02107574,n02107908,n02107683,n01440764
n03796401,n02971356,n04125021,n06785654,n04357314
n02104365,n02107312,n02091467,n02105412,n02110185
n03133878,n07590611,n04596742,n03400231,n03259280
n04336792,n04376876,n03250847,n03976657,n04296562
n02112137,n02094258,n02112018,n02113624,n02114712
n03000684,n02797295,n02727426,n03498962,n03649909
n04553703,n03935335,n03602883,n04372370,n03840681
n02102480,n02102318,n02100877,n02099267,n02088094
n03825788,n03476684,n03920288,n01930112,n04127249
n01695060,n01665541,n01985128,n02454379,n01689811
n02966687,n03017168,n02895154,n02769748,n04311174
n07684084,n07697537,n07860988,n13040303,n07697313
n03417042,n02950826,n03393912,n04428191,n04008634
n02071294,n03873416,n02058221,n04208210,n01494475
n01944390,n01945685,n02219486,n02259212,n02236044
n01855672,n02051845,n01440764,n03775546,n03776460
n02037110,n02002724,n02002556,n02058221,n01855032
n02860847,n03814639,n02988304,n04023962,n15075141
n04229816,n02667093,n02791270,n03692522,n02841315
n12057211,n02206856,n07749582,n07753275,n12144580
n02408429,n02398521,n02110063,n02444819,n02092339
n02481823,n02483708,n02493793,n02480855,n02480495
n07718472,n07716358,n01749939,n01729977,n02259212
n02787622,n02791270,n04487394,n04033995,n03452741
n04462240,n04200800,n02860847,n04204238,n03000684
n02988304,n03492542,n02979186,n04392985,n02978881
n03691459,n02951585,n02841315,n03692522,n02817516
n04266014,n02825657,n04311004,n03773504,n04008634
n03895866,n03272562,n04310018,n03393912,n04335435
